"uid","mid","retweeted_status_mid","retweeted_uid","source","image","text","geo","created_at","deleted_last_seen","permission_denied","week","leng","deleteddateclean","diffindays","treat","created","textfactor","strata","weights","tendaybcensor","tendaybexist","tendaybpost","fivedaybcensor","fivedaybexist","fivedaybpost","tendayacensor","tendayaexist","tendayapost","fivedayacensor","fivedayaexist","fivedayapost","postratebefore","censoredratebefore","existratebefore","postrateafter","censoredrateafter","existrateafter","province","gender","verified","datefactor","censored"
"u3FTU1L3F","mCVfr8IjyC","","","iPhone客户端","1","【温家宝之子出任中国卫通董事长】中国卫星通信集团公司召开董事会，选举温云松担任董事长。中国卫通是国资委管理的央企，中国六大电信运营商之一。据悉到2015年，其营收将达160亿元，成为亚洲最大、世界一流的卫星运营公司。称，温云松为中国总理温家宝之子。","","2012-02-22 09:57:03","","",8,124,"",NA,0,"2012-02-22","【温家宝之子出任中国卫通董事长】中国卫星通信集团公司召开董事会，选举温云松担任董事长。中国卫通是国资委管理的央企，中国六大电信运营商之一。据悉到2015年，其营收将达160亿元，成为亚洲最大、世界一流的卫星运营公司。称，温云松为中国总理温家宝之子。",227,0.78125,0,1,215,0,1,90,0,0.99702380952381,336,0,1,149,1222,0,1,7469,0.000133886731824876,0.985406346231088,33,"m",TRUE,"2012-02-22",0
"u3FTXHNOD","mUEiRbTarG","m1fqHbjQB","","新浪微博","0","越来越有出息了，已经发展到和残疾人士打架了⋯⋯","","2012-07-18 21:59:16","2012-07-19 16:11:30.241863","True",29,23,"2012-07-19 16:11:30",0.75849537037037,1,"2012-07-18","越来越有出息了，已经发展到和残疾人士打架了⋯⋯",1278,1,0.0145454545454545,0.669090909090909,275,0.0307692307692308,0.761538461538461,130,0.0269230769230769,0.680769230769231,260,0.00819672131147541,0.819672131147541,122,1679,0.00595592614651578,0.715306730196546,2132,0.0121951219512195,0.403846153846154,31,"m",TRUE,"2012-07-18",1
"u3JLPK5PD","mfoo41ZFyX","mNTZOxvy1q","uFAYBSPT","新浪微博","0","不管他的后台多硬，全国人民是不会答应的，也不就罢休的","","2012-12-30 21:35:08","","",52,26,"",NA,0,"2012-12-30","不管他的后台多硬，全国人民是不会答应的，也不就罢休的",207,1.5625,0.029126213592233,0.981391585760518,1236,0.0312989045383412,0.976525821596244,639,NA,NA,0,NA,NA,0,1622,0.0246609124537608,0.980887792848335,0,NA,NA,43,"m",FALSE,"2012-12-30",0
"u3JLPK5PD","mQWBR4ain6","m2XUdDRFcF","uW0EYLCST","新浪微博","0","赶走薄王好戴表。何局今天真是坐立难安心忐忑啊！心中有鬼才会运用势力删帖！转一个删发一个删，再删就干他娘北方爆粗口","","2012-12-26 18:28:11","","",52,56,"",NA,0,"2012-12-26","赶走薄王好戴表。何局今天真是坐立难安心忐忑啊！心中有鬼才会运用势力删帖！转一个删发一个删，再删就干他娘北方爆粗口",1259,1.5625,0.0203458799593082,0.983723296032553,983,0.027027027027027,0.986486486486487,518,0.0403225806451613,0.967741935483871,496,0.0403225806451613,0.967741935483871,496,983,0.0203458799593082,0.983723296032553,496,0.0403225806451613,0.967741935483871,43,"m",FALSE,"2012-12-26",0
"u5KK24XNQ","m2gmEJKC1W","mFLDsezodh","uP2ZBH2NK","新浪微博","0","这条我通过不断的删减，只发了6次就发出来了。事实证明我们比朝鲜好多了，不是独裁国家。","","2012-12-16 17:36:59","","",50,42,"",NA,0,"2012-12-16","这条我通过不断的删减，只发了6次就发出来了。事实证明我们比朝鲜好多了，不是独裁国家。",1657,1.5625,0.027027027027027,0.837837837837838,111,0.0491803278688525,0.967213114754098,61,NA,NA,0,NA,NA,0,111,0.027027027027027,0.837837837837838,0,NA,NA,400,"m",FALSE,"2012-12-16",0
"u5KYQF03K","mu9J0Rx92F","","","新浪微博","1","他们是：日本天皇，美国总统，中国市长。。。。。。。","","2012-04-14 17:59:40","","True",15,25,"",NA,1,"2012-04-14","他们是：日本天皇，美国总统，中国市长。。。。。。。",2401,1,0,1,3,0,1,1,0,1,429,0,1,121,20,0,1,5853,0.00461301896463352,0.913036049888946,51,"m",FALSE,"2012-04-14",1
"u5KYUOFV1","m6E6N7WuxV","","","皮皮时光机","1","观众和媒体质疑《泰坦尼克号》中Rose裸身让Jack作画的情节1998年在大陆上映时没有被删除、2012年上映却被删除，近日广电总局终于对此给出了解释：“考虑到3D电影的特殊性，我们担心播放此片段时观众会伸手去摸，打到前排观众的头，造成纠纷。出于建设精神文明社会的考虑，我们决定删除此片段。","","2012-04-08 21:00:18","","",14,145,"",NA,0,"2012-04-08","观众和媒体质疑《泰坦尼克号》中Rose裸身让Jack作画的情节1998年在大陆上映时没有被删除、2012年上映却被删除，近日广电总局终于对此给出了解释：“考虑到3D电影的特殊性，我们担心播放此片段时观众会伸手去摸，打到前排观众的头，造成纠纷。出于建设精神文明社会的考虑，我们决定删除此片段。",1046,0.142045454545455,0,1,57,0,1,21,0,1,72,0,1,43,113,0,1,2425,0,1,32,"f",FALSE,"2012-04-08",0
"u5KYVWJPK","mdZsArNZ8a","mCV085Utid","uK3RRIB3N","Weico.iPhone版","0","这样的事，我们难道不应该认真的反省吗？在那场空前绝后的大饥荒中，河南、四川的情况最为严重，这其中固然有人口的因素，但更重要的还是取决于当地的一把手。记住这两个人：河南的吴芝圃，四川的李井泉。","","2012-02-05 09:03:39","","",5,95,"",NA,0,"2012-02-05","这样的事，我们难道不应该认真的反省吗？在那场空前绝后的大饥荒中，河南、四川的情况最为严重，这其中固然有人口的因素，但更重要的还是取决于当地的一把手。记住这两个人：河南的吴芝圃，四川的李井泉。",1662,1.5625,0,1,83,0,1,37,0,1,114,0,1,63,531,0,1,10772,0.00222799851466766,0.938265874489417,11,"m",TRUE,"2012-02-05",0
"u5KYVWJPK","mptMyhCN75","","","Android客户端","0","【驾驶证新规】2013年1月1日施行：1、闯红灯，记6分，罚100元。2、酒驾，5年内不得再考取驾照。3、不系安全带，记3分，罚100元。4、副驾不系安全带，记1分，罚50元。5、行驶途中拨打手机，记3分，罚100元。6、行驶途中抽烟，记1分，罚100元。7、有意遮挡号牌，记12分，顶额处罚。8、超速驾驶，记6分。","","2012-10-14 01:26:03","","",41,158,"",NA,0,"2012-10-14","【驾驶证新规】2013年1月1日施行：1、闯红灯，记6分，罚100元。2、酒驾，5年内不得再考取驾照。3、不系安全带，记3分，罚100元。4、副驾不系安全带，记1分，罚50元。5、行驶途中拨打手机，记3分，罚100元。6、行驶途中抽烟，记1分，罚100元。7、有意遮挡号牌，记12分，顶额处罚。8、超速驾驶，记6分。",2050,1.5625,0,0.692,250,0,0.65546218487395,119,0,0.918367346938776,147,0,1,25,9412,0.0023374415639609,0.937739056523587,1908,0.0010482180293501,0.958595387840671,11,"m",TRUE,"2012-10-14",0
"u5KYVWJPK","m2D4mXKrz1","","","新浪微博","0","记者采访了某市民：＂你觉得神舟九号的发射成功说明了什么？＂市民：＂说明了我国解决教育问题、住房问题、医疗问题、食品安全问题比登天还难！＂","","2012-06-22 08:10:15","","True",25,68,"",NA,1,"2012-06-22","记者采访了某市民：＂你觉得神舟九号的发射成功说明了什么？＂市民：＂说明了我国解决教育问题、住房问题、医疗问题、食品安全问题比登天还难！＂",1098,1,0,1,385,0,1,135,0,0.946695095948827,469,0,0.916666666666667,156,4769,0,0.99203187250996,6490,0.00354391371340524,0.903389830508475,11,"m",TRUE,"2012-06-22",1
"uAHF5QFXM","mAMinN1r2C","mQWB3DjCE4","u0VPJOJIQ","新浪微博","0","當官不撈錢、不如回家望星空；每逢換屆狗咬狗、換刀換血又十年⋯","","2012-12-27 20:45:07","","",52,30,"",NA,0,"2012-12-27","當官不撈錢、不如回家望星空；每逢換屆狗咬狗、換刀換血又十年⋯",386,1.5625,0.0233160621761658,0.94300518134715,386,0.0416666666666667,0.958333333333333,24,0.0176991150442478,0.973451327433628,226,0.0176991150442478,0.973451327433628,226,643,0.015552099533437,0.964230171073095,226,0.0176991150442478,0.973451327433628,42,"m",FALSE,"2012-12-27",0
"uAHFQZNMD","mkpByGhoKo","mrAXp6SJq1","uAHFQZNMD","iPad客户端","0","王登朝老婆:深圳警察王登朝，今年3月初在深圳莲花山公园组织一个宣传民主的集会，被当局重判14年。王登朝专门贷款50万筹办这次民主聚会，这个绝对是全国首创。初步了解印制了大量文化衫，标语，还请人上街派传单，宣传等，原计划集会现场数千人。现地址：深圳市罗湖看守所","","2012-12-26 02:10:28","","",52,129,"",NA,0,"2012-12-26","王登朝老婆:深圳警察王登朝，今年3月初在深圳莲花山公园组织一个宣传民主的集会，被当局重判14年。王登朝专门贷款50万筹办这次民主聚会，这个绝对是全国首创。初步了解印制了大量文化衫，标语，还请人上街派传单，宣传等，原计划集会现场数千人。现地址：深圳市罗湖看守所",301,0.520833333333333,0.0816326530612245,0.918367346938776,49,0.0816326530612245,0.918367346938776,49,0,0.971428571428571,105,0,0.971428571428571,105,49,0.0816326530612245,0.918367346938776,105,0,0.971428571428571,44,"f",FALSE,"2012-12-26",0
"uB4G1E3MG","mcrxeTMXYn","mEj6Ctos2Y","uDG02K5BK","iPhone客户端","0","科技无边界。这照片有点可笑！网络是愚民之术的致命天敌！！！！原始积累。很多曾经光彩耀人的历史今天却是某些人、某些制度不堪的耻辱。","","2012-03-02 07:41:18","","",9,64,"",NA,0,"2012-03-02","科技无边界。这照片有点可笑！网络是愚民之术的致命天敌！！！！原始积累。很多曾经光彩耀人的历史今天却是某些人、某些制度不堪的耻辱。",540,0.78125,0,1,211,0,1,59,0.0201342281879195,0.973154362416107,149,0.04,0.96,75,681,0,1,4134,0.00217706821480406,0.825834542815675,53,"m",TRUE,"2012-03-02",0
"uB4H2CXHT","m2rSPvQ5Pv","","","新浪微博","1","【消息称大连实德董事长徐明遭中纪委调查建行追缴贷款】据财经国家新闻网消息，3月15日晚间，大连实德集团有限公司董事长徐明因涉嫌经济案件被相关部门控制，建行已经开始追缴实德的贷款，并对其全面停贷。大连实德突然遭遇生死一役！","","2012-03-31 11:20:44","","",13,110,"",NA,0,"2012-03-31","【消息称大连实德董事长徐明遭中纪委调查建行追缴贷款】据财经国家新闻网消息，3月15日晚间，大连实德集团有限公司董事长徐明因涉嫌经济案件被相关部门控制，建行已经开始追缴实德的贷款，并对其全面停贷。大连实德突然遭遇生死一役！",203,1.5625,0,1,334,0,1,175,0,1,268,0,1,109,2267,0,1,8994,0,0.992884144985546,34,"m",TRUE,"2012-03-31",0
"uB4HJTW3M","mzHjVHmAvV","mNTZOxvy1q","uFAYBSPT","新浪微博","0","除非他有勇气断腕啊！如此疯狂删表哥图片，让百姓更加确信，何表哥上面有人","","2012-12-30 17:46:59","","True",52,35,"",NA,1,"2012-12-30","除非他有勇气断腕啊！如此疯狂删表哥图片，让百姓更加确信，何表哥上面有人",1930,1,0.0323076923076923,0.94,650,0.036144578313253,0.933734939759036,332,NA,NA,0,NA,NA,0,1536,0.037109375,0.929036458333333,0,NA,NA,43,"m",FALSE,"2012-12-30",1
