original_short,redirected,valid_url,domain,subdomain,suffix
https://t.co/yuW4IzazYJ,https://twitter.com/jrmaidment/status/1108312457456558080,Yes,twitter,,com
https://t.co/tRXCQiC9iD,https://twitter.com/_sarahmasson/status/1194657936330633216,Yes,twitter,,com
https://t.co/rpi0r0pKm5,https://twitter.com/NicolaSturgeon/status/1161317154286899201/photo/1,Yes,twitter,,com
https://t.co/yEVpa0tSsd,https://twitter.com/davidson_robert/status/1132586509545222146,Yes,twitter,,com
https://t.co/DZkumD4pRR,https://twitter.com/ruthdavidsonmsp/status/1131868442716495872,Yes,twitter,,com
https://t.co/OOJvo6WUms,https://twitter.com/andy_murray/status/1147595496074207233/photo/1,Yes,twitter,,com
https://t.co/A2fef461iV,https://twitter.com/DavidGarbutt1/status/1126017411369533440/photo/1,Yes,twitter,,com
https://t.co/c,https://twitter.com/cg,Yes,twitter,,com
https://t.co/jw26UtH94x,https://twitter.com/scottishhockey/status/1157974021188673536,Yes,twitter,,com
https://t.co/HL9joIWup6,https://www.bbc.com/news/uk-scotland-48147536,Yes,bbc,www,com
https://t.co/o5ijgX7elI,https://twitter.com/NicolaSturgeon/status/1098601392091131907/photo/1,Yes,twitter,,com
https://t.co/gwpf1TnsnI,https://twitter.com/theSNP/status/1205310027533312001/video/1,Yes,twitter,,com
https://t.co/H6QMxjPheq,https://twitter.com/trafficscotland/status/1097741283064512512,Yes,twitter,,com
https://t.co/qjBBPmdyn4,https://twitter.com/NicolaSturgeon/status/1159792954120318977/photo/1,Yes,twitter,,com
https://t.co/jMh9DdquHP,https://twitter.com/chiefexecccc/status/1206824696551034881,Yes,twitter,,com
https://t.co/aBa78qLk3M,https://twitter.com/bbclaurak/status/1185544195311853569,Yes,twitter,,com
https://t.co/nrvD5itTCR,https://twitter.com/littleartschool/status/1204408287178846208,Yes,twitter,,com
https://t.co/8y7hU9RoI5,https://twitter.com/RiaDRobertson/status/1164121365739450369/photo/1,Yes,twitter,,com
https://t.co/FX1TeSm43F,https://www.gov.uk/register-to-vote,Yes,www,,gov.uk
https://t.co/MPdfyWT1UZ,https://twitter.com/NicolaSturgeon/status/1111168475614113793/photo/1,Yes,twitter,,com
https://t.co/pD,Not a valid url,No,Domain missing,Subdomain missing,Suffix missing
https://t.co/3lWwLtz6Mq,https://twitter.com/davidmundelldct/status/1113150878507302912,Yes,twitter,,com
https://t.co/aOWyu2HW2v,https://www.bbc.co.uk/news/uk-scotland-glasgow-west-47644414,Yes,bbc,www,co.uk
https://t.co/HjgM6EYp2m,https://twitter.com/cailynmcmahon/status/1228735401004879872,Yes,twitter,,com
https://t.co/EnBrXzr0in,https://twitter.com/gavinlundy/status/1131466669681983493,Yes,twitter,,com
https://t.co/lLcopZ9b8o,https://twitter.com/NicolaSturgeon/status/1209836368127348736/photo/1,Yes,twitter,,com
https://t.co/XYVCrN0QzG,https://twitter.com/jolyonmaugham/status/1111258690139631616,Yes,twitter,,com
https://t.co/p0H2g1ixzC,https://twitter.com/NicolaSturgeon/status/1191479819671916552/photo/1,Yes,twitter,,com
https://t.co/U9d6lKzZGy,https://twitter.com/NicolaSturgeon/status/1198536113478078464/photo/1,Yes,twitter,,com
https://t.co/TdhyzLAifm,https://twitter.com/paulwaugh/status/1105819286151577600,Yes,twitter,,com
https://t.co/oHWaezzwNj,https://www.vulture.com/2019/08/toni-morrison-dead-at-88.html,Yes,vulture,www,com
https://t.co/rpzv9AxWtA,https://twitter.com/includem2000/status/1105446509812817920,Yes,twitter,,com
https://t.co/laJBxLSGIX,https://twitter.com/roma_voice/status/1192195168327352321,Yes,twitter,,com
https://t.co/pd5sgsLdE4,https://twitter.com/heartscotnews/status/1189900847133659136,Yes,twitter,,com
https://t.co/tKAYznPxJU,https://twitter.com/paulhutcheon/status/1123568035921637379,Yes,twitter,,com
https://t.co/T46ACO9AgH,https://twitter.com/rewearmouth/status/1227616809932787715,Yes,twitter,,com
https://t.co/srqtSK8bvH,https://twitter.com/NicolaSturgeon/status/1095612816587927552/photo/1,Yes,twitter,,com
https://t.co/dY1sCFcblN,https://twitter.com/NicolaSturgeon/status/1192073116903718912/photo/1,Yes,twitter,,com
https://t.co/UVzaywZdRz,https://twitter.com/NicolaSturgeon/status/1172131649926193153/photo/1,Yes,twitter,,com
https://t.co/CHxgADPRhs,https://twitter.com/rosscolquhoun/status/1147605136560283650/photo/1,Yes,twitter,,com
https://t.co/fW3RsHQBuj,https://twitter.com/falkirkwfi/status/1104492568165801985,Yes,twitter,,com
https://t.co/M1Zr9lp6nO,https://twitter.com/kateforbesmsp/status/1232683528460042240,Yes,twitter,,com
https://t.co/xXvfcNmHpT,https://twitter.com/OutForIndy/status/1147037467486408705,Yes,twitter,,com
https://t.co/V5qyJcX5ZC,https://twitter.com/alisonthewliss/status/1201590937350234112/photo/1,Yes,twitter,,com
https://t.co/25dGcG4xI2,https://twitter.com/thesnp/status/1196888718457659392,Yes,twitter,,com
https://t.co/2BWYn5v0YR,https://twitter.com/scotlandnt/status/1150756995013709825,Yes,twitter,,com
https://t.co/E8EtGVlHH1,https://twitter.com/brandonlewis/status/1111646137956610048,Yes,twitter,,com
https://t.co/5eG1zBz8NS,https://twitter.com/NicolaSturgeon/status/1191730992849002498/photo/1,Yes,twitter,,com
https://t.co/viqyMMiD7Z,https://twitter.com/NicolaSturgeon/status/1129393917814824960/photo/1,Yes,twitter,,com
https://t.co/tBklFN3XVg,https://twitter.com/independent/status/1172972537560612864,Yes,twitter,,com
https://t.co/3NxXBdmN9Z,https://twitter.com/bloodyscotland/status/1175487983941820422,Yes,twitter,,com
https://t.co/Y5pgPLaBXF,https://www.bbc.co.uk/news/world-asia-india-49277021,Yes,bbc,www,co.uk
https://t.co/6tbWvyTiux,https://twitter.com/skynewspolitics/status/1170008292971749376,Yes,twitter,,com
https://t.co/Aj1jrcWWJs,https://twitter.com/bbcnewspr/status/1199697628545650688,Yes,twitter,,com
https://t.co/fDrMbvsTSL,https://twitter.com/TheBookerPrizes/status/1130935283632017408,Yes,twitter,,com
https://t.co/h8MueaspAL,https://twitter.com/theSNP/status/1190653515657601025/photo/1,Yes,twitter,,com
https://t.co/nOdNt0FNBq,https://twitter.com/humzayousaf/status/1167566958730076163,Yes,twitter,,com
https://t.co/Hq2c1ErYKz,https://twitter.com/bbcworld/status/1128513345387225093,Yes,twitter,,com
https://t.co/KXSj7wwEsY,https://www.thenational.scot/news/17586824.sturgeon-our-currency-position-is-ambitious-and-credible-it-can-win-us-indy/,Yes,thenational,www,scot
https://t.co/La8qUETlMD,https://twitter.com/TheSolheimCup/status/1173272789647810560,Yes,twitter,,com
https://t.co/Gy1RwJob0Q,https://twitter.com/bbclaurak/status/1106281136727248897,Yes,twitter,,com
https://t.co/GHhO38Z2Ll,https://twitter.com/rowenamason/status/1229369714545176578,Yes,twitter,,com
https://t.co/udW7BR1p9T,https://twitter.com/pippacrerar/status/1177540341534265354,Yes,twitter,,com
