text,retweet_count,hashtags,user_mentions
"RT @GreenAllianceUK: Scotland’s climate change legislation sets a 2045 net zero target, but its 75% by 2030 target is significant - it ensu…",69,[],['GreenAllianceUK']
RT @GreenAllianceUK: Offer from @NicolaSturgeon to help make a #netzeroclub happen. Fantastic. #CountdownToCOP,31,"['netzeroclub', 'CountdownToCOP']","['GreenAllianceUK', 'NicolaSturgeon']"
"RT @edwardleodavey: Very impressive &amp; uplifting #CountdowntoCOP conference today, superbly well organized by @GreenAllianceUK team led by @…",48,['CountdowntoCOP'],"['edwardleodavey', 'GreenAllianceUK']"
RT @scotgov: Today First Minister @NicolaSturgeon met EU chief negotiator @MichelBarnier in Brussels for useful discussions on the forthcom…,782,[],"['scotgov', 'NicolaSturgeon', 'MichelBarnier']"
"RT @vestager: Very happy to meet and get to know @NicolaSturgeon. Talked about Green Deal and the Cop in Glasgow, dynamics of digitisation…",552,[],"['vestager', 'NicolaSturgeon']"
"RT @rtenews: FF, FG, SF tied at 22% support each in Election 2020 exit poll with margin of error of +/- 1.3% |  Full details here https://t…",470,[],['rtenews']
RT @KateForbesMSP: Winning team @Greenwood_Acad getting their certificates here after winning #CyberFirst Girls 2020 competition @CyberResS…,32,['CyberFirst'],"['KateForbesMSP', 'Greenwood_Acad']"
Congratulations to my old school @Greenwood_Acad on winning the Girls #CyberFirst competition https://t.co/Ae0dnAxjWV,70,['CyberFirst'],['Greenwood_Acad']
Well that was a wet and windy game of @SixNationsRugby. Hard lines @Scotlandteam and well done @EnglandRugby #AsOne https://t.co/YnBvjWNqh5,61,['AsOne'],"['SixNationsRugby', 'Scotlandteam', 'EnglandRugby']"
RT @FabianZuleeg: Looking forward to welcoming First Minister @NicolaSturgeon to the @epc_eu on Monday to discuss the future of the Scotti…,658,[],"['FabianZuleeg', 'NicolaSturgeon', 'epc_eu']"
@ryannmcshanee1 Happy birthday @ryannmcshanee1 - have a good one!,0,[],"['ryannmcshanee1', 'ryannmcshanee1']"
"Very proud of this @scotgov budget. Against a backdrop of Brexit &amp; Tory austerity, we’re investing strongly in the economy, public services &amp; tackling the climate crisis. I am also v proud of @KateForbesMSP who has stepped up in tough circumstances and shown what a talent she is.",1032,[],"['scotgov', 'KateForbesMSP']"
"RT @TheCareReview: As the Care Review launch day comes to an end, we’re reminding again of the people at the heart.#ThePromise #KeepThePr…",52,['ThePromise'],['TheCareReview']
RT @STVNews: A young woman who was taken into foster care when she was a teenager says she felt like ‘nobody’s child’. https://t.co/mFcx8Vk…,71,[],['STVNews']
Will shortly make a statement to @ScotParl on today’s publication of @TheCareReview report #KeepThePromise https://t.co/2BkM83HZDe,72,['KeepThePromise'],"['ScotParl', 'TheCareReview']"
RT @VonnSand: At Bute House with fabulous care sisters #KeepThePromise https://t.co/nf3nUGLNH8,26,['KeepThePromise'],['VonnSand']
"RT @TheCareReview: The Care Review reports are now in the hands of @NicolaSturgeon and @JohnSwinney, handed over by those to whom #ThePromi…",124,[],"['TheCareReview', 'NicolaSturgeon', 'JohnSwinney']"
"RT @TheCareReview: 3, 2, 1...BLAST OFF!! Read all the Care Review reports NOW at https://t.co/Q1tFCMwKBP Scotland, over to you. https:/…",151,[],['TheCareReview']
"RT @scotgov: First Minister @NicolaSturgeon has fulfilled her promise to meet 1,000 care experienced young people in Scotland.Learn more…",158,[],"['scotgov', 'NicolaSturgeon']"
Delighted to have @murrayf00te on board as @theSNP Holyrood Head of Comms https://t.co/SuAtclzoT1,181,[],"['murrayf00te', 'theSNP']"
"Today I receive the final report of @TheCareReview. Transforming the experience of young people who need our care is, for me, a political and a personal commitment. I’ll set out @scotgov initial response to @ScotParl in a statement this afternoon. We will #KeepThePromise ❤️",420,['KeepThePromise'],"['TheCareReview', 'scotgov', 'ScotParl']"
"RT @TheCareReview: Good morning! On a day where a lot will be said, we’re starting with the most important: THANK YOU. To everyone who shar…",109,[],['TheCareReview']
"A pleasure to attend the @GJRCouncil reception in Glasgow City Chambers this evening - a lovely celebration of the valued contribution that our Jewish community has made, and continues to make, to Glasgow and Scotland. https://t.co/0vQLdreBfV",84,[],['GJRCouncil']
"RT @whocaresscot: As tomorrow approaches, we're thinking about the people who made a moment like this possible. Those people who spoke up w…",32,[],['whocaresscot']
@Les_Hart @MhairiBlack I’m not able to be there tonight - sorry. But hopefully get to meet sometime soon (I’m a Lou fan!!),1,[],"['Les_Hart', 'MhairiBlack']"
I’m determined that political differences will not impact on #COP26. I’ve therefore written to PM today making clear @scotgov commitment to working well with the UK government and suggesting a sense of shared responsibility for its success. Let’s move forward in the right spirit. https://t.co/KUBE9KxYwf,582,['COP26'],['scotgov']
@GirlchampJinty @fionacarereview @JennyGilruth @GillianMSP @MareeToddMSP @whocaresscot @tkirk039 @atmutch @cisweb Well done 🎉💪,1,[],"['GirlchampJinty', 'fionacarereview', 'JennyGilruth', 'GillianMSP', 'MareeToddMSP', 'whocaresscot', 'tkirk039', 'atmutch', 'cisweb']"
"Again, to be clear - I’ve attended 3 past COPs - Paris, Bonn, Katowice - at the invitation of the UN. I fully intend to be in Glasgow, my home city - and to play my part in making it a success for Scotland, the UK and the world. We must all be serious about our responsibilities. https://t.co/ktCcuwvuoz",1568,[],[]
2/ Most importantly of all it has reinforced and deepened my political and personal determination that we will build on the foundation and direction of @TheCareReview to create care in Scotland that has love and nurture at its heart.,43,[],['TheCareReview']
1/ Thank you so much to all the young people who shared their stories with me. Taking part in and completing @1000voicesscot has been a deeply profound experience for me - it has changed fundamentally how I think and feel about the issues experienced by young people in care. https://t.co/yI1uzeiWdK,147,[],['1000voicesscot']
To be clear - @scotgov wants #COP26 to be a success &amp; will play our full part in making it so. It’s not about Boris Johnson or me - it is about tackling the climate crisis. My commitment is that political differences will not stop me and my government working to make it a success,1064,['COP26'],['scotgov']
RT @ScotNational: Tomorrow’s front page: Exclusive new bombshell poll shows huge increase in support for independence with Yes now at 52%!…,1323,[],['ScotNational']
RT @DavieHutchison: Survation PollFieldwork was 20-22 Jan 2020. *Change on 10-11 Dec 2019.^Change on  18-21 Oct 2018.Yes: 50.2% (*+0.9…,69,[],['DavieHutchison']
RT @Survation: We also included Holyrood voting intention.Constituency vote figures:Con: 23%Lab: 17%Lib Dem: 7%SNP: 51%Another Part…,180,[],['Survation']
RT @Survation: New hypothetical Scottish independence referendum voting intention figures:Yes: 50%No: 50%Fieldwork was between 20th-22…,167,[],['Survation']
RT @ScotGovFM: First Minister @NicolaSturgeon in Glasgow to announce almost £2m @scotent funding for @EncompassCorp to develop artificial i…,117,[],"['ScotGovFM', 'NicolaSturgeon', 'scotent', 'EncompassCorp']"
RT @BBCScotlandNews: Former European Council president Donald Tusk says Brussels feels 'empathy' towards an independent Scotland joining th…,346,[],['BBCScotlandNews']
RT @Fionasstalker: 'Empathy' for independent Scotland joining the EU says Tusk https://t.co/wBG6l2CbqV,169,[],['Fionasstalker']
RT @PaulaCoyscot: My wean and the FM ⁦@NicolaSturgeon⁩ . So proud of the best haggis bearer EVER! https://t.co/0Q8vZXZqhh,41,[],"['PaulaCoyscot', 'NicolaSturgeon']"
RT @JacquiFindlay3: The Country Quines performing at SNP Burns supper with @NicolaSturgeon @RichardLochhead @ChristinaSNP @KeithBrownSNP @S…,28,[],"['JacquiFindlay3', 'NicolaSturgeon', 'RichardLochhead', 'ChristinaSNP', 'KeithBrownSNP']"
"Lovely night at ⁦@moraysnp⁩ Burns Supper with ⁦@RichardLochhead⁩ ⁦@ChristinaSNP⁩ @keithbrownSNP and 200 others - great company, food and entertainment. Thanks to all who made it happen. https://t.co/C2JhrzIoVy",85,[],"['moraysnp', 'RichardLochhead', 'ChristinaSNP', 'KeithBrownSNP']"
RT @unisonscot: UNISON Scotland supports the call for a second independence referendum https://t.co/Sm5VATSf4t via @unisonscot,961,[],"['unisonscot', 'unisonscot']"
"RT @BBCandrewkerr: Unison, Scotland’s largest union, have agreed overwhelmingly that powers should be transferred to Scotland to enable a s…",1925,[],['BBCandrewkerr']
Scotland will return to the heart of Europe as an independent country - #LeaveALightOnForScotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/Pc2fibYnG4,14441,['LeaveALightOnForScotland'],[]
RT @DarranMarshall: Compare &amp; contrast the images of Downing St &amp; the Scottish Gov HQ tonight. #Brexit #BrexitDay https://t.co/ZWkjyh1CCd,381,"['Brexit', 'BrexitDay']",['DarranMarshall']
The EU Commission building in Brussels tonight (and if you look carefully you’ll see that they do appear to have left a light on for us!) 🏴󠁧󠁢󠁳󠁣󠁴󠁿❤️🇪🇺 https://t.co/KMmUvJsKn4,16698,[],[]
St Andrew’s House - @scotgov HQ - lit up tonight in the colours of Europe. #KeepALightOnForScotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺 https://t.co/wLWprEQiL1,2499,['KeepALightOnForScotland'],['scotgov']
RT @JamesMelville: The Scottish Government headquarters in Edinburgh tonight. 🇪🇺 https://t.co/0J8RiJ5mro,1539,[],['JamesMelville']
"RT @GrayInGlasgow: ""For a' that, an' a' that, It's coming yet for a' that, That Man to Man, the world o'er, Shall brothers be for a' tha…",1167,[],['GrayInGlasgow']
"RT @PA: The SNP used the sand of Portobello Beach, Edinburgh, to send a message to the EU on #BrexitDay https://t.co/OLh0eW98qZ",414,['BrexitDay'],['PA']
RT @alisonthewliss: Productive January meeting of the Pollokshields fireworks stakeholders group - reviewing the previous bonfire night and…,25,[],['alisonthewliss']
RT @theSNP: 🏴󠁧󠁢󠁳󠁣󠁴󠁿🤝🇪🇺 Scotland sends a message to the EU in our most pro-European city.#ScotlandLovesEU #LeaveALightOn https://t.co/Qh2Lu…,540,"['ScotlandLovesEU', 'LeaveALightOn']",['theSNP']
RT @YesScot: 💻 We’ve launched a new Yes campaigning platform.🏴󠁧󠁢󠁳󠁣󠁴󠁿 Our movement stands on the shoulders of giants.👨 👩 It’s time for i…,1002,[],['YesScot']
"RT @scotgov: Today FM @NicolaSturgeon has written to our European friends and neighbours, asking them to #leavealighton for Scotland. 'Sc…",842,['leavealighton'],"['scotgov', 'NicolaSturgeon']"
Read my full Brexit day speech on Scottish independence here  https://t.co/AaQ449avvh,1307,[],[]
RT @scotgov: Embracing different cultures and people in Scotland is part of our national identity. #WeAreScotlandToday we want to remind…,1012,['WeAreScotland'],['scotgov']
"RT @ScotNational: Tomorrow's front page: Dear Europe, leave a light on for Scotland 🕯️Take a picture with our front page and share it wit…",1048,[],['ScotNational']
Statement from UK Chief Medical Officers on @WHO⁩ declaration of global health emergency. UK risk level raised from low to moderate - does not mean risk to individuals in UK has changed but that governments should step up planning #coronaravirus  https://t.co/HOwW5rP1tU,238,['coronaravirus'],['WHO']
"RT @Torcuil: Evocative, personal piece by @NicolaSturgeon on Sunset Song in @NewStatesman, exploring the impact the book had on her, taken…",131,[],"['Torcuil', 'NicolaSturgeon', 'NewStatesman']"
Really looking forward to reading this @valmcdermid @ProfJoSharp https://t.co/bQPWBG1baT,42,[],"['valmcdermid', 'ProfJoSharp']"
Interesting new ⁦@YouGov⁩ poll on independence shows Yes in the lead.  https://t.co/gGtX5pPbN1,887,[],['YouGov']
"RT @scotgov: This evening FM @NicolaSturgeon chaired a meeting of SGoRR, the Scottish Government’s resilience committee, also attended by @…",83,[],"['scotgov', 'NicolaSturgeon']"
RT @BBCPolitics: Singing of Auld Lang Syne starts in the European Parliament as the Brexit Withdrawal Agreement is approved by MEPshttps:…,13056,[],['BBCPolitics']
RT @AlynSmith: And Auld Lang Syne to finish. Scotland will be back. #leavealighton 🏴󠁧󠁢󠁳󠁣󠁴󠁿🕯🇪🇺 https://t.co/ia7vxhFBRc,2908,['leavealighton'],['AlynSmith']
RT @STVNews: Paramedics will issue life-saving medicine to patients at risk of an overdose as part of a new scheme to tackle Scotland's ris…,101,[],['STVNews']
"RT @ScotGovFM: First Minister @NicolaSturgeon welcomes progress on equality during speech @NACWGScot where she met Amina Ahmed, a pupil @Ga…",48,[],"['ScotGovFM', 'NicolaSturgeon', 'NACWGScot']"
Looking forward to joining @NACWGScot Circle event this morning to discuss the latest report and recommendations to advance gender equality. https://t.co/COuJR9bkac,39,[],['NACWGScot']
"RT @Feorlean: Meanwhile in Scotland the Tories   are denouncing those who want to leave one EU flag flying outside @ScotParl , in solidarit…",425,[],"['Feorlean', 'ScotParl']"
